admin_tag,final_call_type
NULL,OBS - RAPE - IP/JO
NULL,OBS - REPORT  NON INJ/NON BLKG OR AFTER FACT INJ
NULL,OBS - SAMPLE / TEST CALL ONLY
NULL,OBS - SUSPICIOUS PACKAGE
NULL,OBS - UNKNOWN - ANI/ALI - PAY PHN (INCL OPEN LINE)
NULL,OBS WEAPN-IP/JO-GUN DEADLY WPN (NO THRT/ASLT/DIST)
NULL,OFF DUTY EMPLOYMENT
NULL,ORDER  - SERVICE OF DV COURT ORDER
NULL,ORDER - ASSIST DV VIC W/SRVC OF COURT ORDER
NULL,ORDER - CRITICAL VIOLATION OF DV COURT ORDER
NULL,ORDER - VIOLATING DV COURT ORDER
NULL,ORDER - VIOLATION OF COURT ORDER (NON DV)
Non-Patrol,OUT AT RANGE
Non-Patrol,OUT OF CAR/NO REASON GIVEN
Non-Patrol,OUT TO PRECINCT/STATION
NULL,OVERDOSE
NULL,PANHANDLING  AGGRESSIVE
NULL,PARKING VIOLATION (EXCEPT ABANDONED CAR)
NULL,PEACE-STANDBY TO ASSURE (NO COURT ORDR SVC)
NULL,PEDESTRIAN VIOLATIONS
NULL,PERSON - FOUND PERSON
NULL,PERSON - LOST PERSON
NULL,PERSON - MISSING PERSON
NULL,PERSON - RUNAWAY
NULL,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS
NULL,PHONE - OBSCENE OR NUISANCE PHONE CALLS
NULL,PREMISE CHECK  OFFICER INITIATED ONVIEW ONLY
NULL,PREMISE CHECKS - BUSINESS CHECK
NULL,PREMISE CHECKS - CRIME PREVENTION
NULL,PREMISE CHECKS - HOMELESS ENCAMPMENT
NULL,PREMISE CHECKS - LICENSE INSPECTIONS
NULL,PREMISE CHECKS - REQUEST TO WATCH
Non-Patrol,PREPLANNED EVENT
Non-Patrol,PRISONER ESCORT - BUSY CODE
NULL,PROPERTY - DAMAGE
NULL,PROPERTY - DAMAGE (GUN RELATED)
NULL,PROPERTY - FOUND
NULL,PROPERTY - FOUND GUN  SHELLCASINGS
